system,noise_type,intensity,seed,sv_index_sorted,sv
Inhibited Predator-Prey,gaussian,0.0,100,0,6.273229598999023
Inhibited Predator-Prey,gaussian,0.0,100,1,0.975142776966095
Inhibited Predator-Prey,gaussian,0.025,100,0,2.9233028888702393
Inhibited Predator-Prey,gaussian,0.025,100,1,1.8764033317565918
Inhibited Predator-Prey,gaussian,0.05,100,0,3.8911149501800537
Inhibited Predator-Prey,gaussian,0.05,100,1,1.078719139099121
Inhibited Predator-Prey,gaussian,0.75,100,0,10.213802337646484
Inhibited Predator-Prey,gaussian,0.75,100,1,2.57670259475708
Inhibited Predator-Prey,gaussian,0.1,100,0,4.804263591766357
Inhibited Predator-Prey,gaussian,0.1,100,1,1.6349178552627563
Inhibited Predator-Prey,gaussian,0.15,100,0,9.39072036743164
Inhibited Predator-Prey,gaussian,0.15,100,1,2.0432522296905518
Inhibited Predator-Prey,gaussian,0.2,100,0,2.5894501209259033
Inhibited Predator-Prey,gaussian,0.2,100,1,1.2543283700942993
